Laser id,Elevation,Azimuth
1,14.463,3.484
2,13.532,3.464
3,13.138,1.244
4,12.638,3.477
5,12.236,1.246
6,11.727,3.464
7,11.291,1.248
8,10.762,3.484
9,10.342,1.256
10,9.835,3.491
11,9.397,1.265
12,8.892,3.491
13,8.436,1.263
14,7.910,3.492
15,7.459,1.268
16,6.951,-0.953
17,6.486,1.268
18,5.970,-0.943
19,5.470,-3.126
20,5.008,-0.936
21,4.502,-3.132
22,4.010,-0.934
23,3.515,-3.126
24,3.028,-0.929
25,2.494,-3.119
26,2.034,-0.923
27,1.908,8.006
28,1.785,5.769
29,1.631,3.516
30,1.506,-3.118
31,1.411,1.290
32,1.285,-5.336
33,1.101,-7.512
34,1.022,-0.936
35,0.895,8.012
36,0.802,5.782
37,0.660,3.522
38,0.527,-3.110
39,0.400,1.291
40,0.243,-5.327
41,0.113,-7.514
42,0.022,-0.919
43,-0.092,8.041
44,-0.221,5.798
45,-0.353,3.527
46,-0.514,-3.108
47,-0.616,1.322
48,-0.744,-5.321
49,-0.901,-7.515
50,-0.997,-0.907
51,-1.096,8.056
52,-1.217,5.819
53,-1.366,3.548
54,-1.505,-3.106
55,-1.626,1.323
56,-1.753,-5.326
57,-1.869,-7.525
58,-2.004,-0.902
59,-2.102,8.080
60,-2.226,5.819
61,-2.402,3.579
62,-2.537,-3.103
63,-2.651,1.347
64,-2.777,-5.332
65,-2.905,-7.523
66,-3.036,-0.906
67,-3.102,8.092
68,-3.267,5.837
69,-3.404,3.567
70,-3.526,-3.112
71,-3.682,1.359
72,-3.784,-5.325
73,-3.942,-7.528
74,-4.061,-0.894
75,-4.123,8.112
76,-4.269,5.847
77,-4.431,3.580
78,-4.562,-3.113
79,-4.693,1.347
80,-4.791,-5.340
81,-4.914,-7.544
82,-5.050,-0.899
83,-5.156,8.133
84,-5.275,5.857
85,-5.458,3.589
86,-5.603,-3.108
87,-5.730,1.363
88,-5.827,-5.337
89,-5.962,-7.533
90,-6.075,-0.894
91,-6.621,-3.109
92,-7.107,-0.884
93,-7.623,-3.115
94,-8.118,-0.890
95,-8.656,-3.113
96,-9.115,3.646
97,-9.658,-3.112
98,-10.139,3.661
99,-10.644,1.411
100,-11.147,3.682
101,-11.678,1.430
102,-12.153,3.702
103,-12.650,1.432
104,-13.137,3.711
105,-13.644,1.452
106,-14.155,3.748
107,-14.647,1.467
108,-15.127,3.748
109,-15.629,1.470
110,-16.123,3.771
111,-16.599,1.482
112,-17.095,-0.838
113,-17.574,1.507
114,-18.063,-0.826
115,-18.537,-3.086
116,-19.015,-0.823
117,-19.457,-3.079
118,-19.971,-0.814
119,-20.410,-3.073
120,-20.912,-0.810
121,-21.326,-3.070
122,-21.834,-0.793
123,-22.272,-3.063
124,-22.730,-0.813
125,-23.164,-3.063
126,-23.661,-0.795
127,-24.085,-3.050
128,-24.949,-3.058
